SUNGEI ROAD	2390	780	1160	410	40	0	0	30
ONE NORTH	0	0	0	0	0	540	40	30
TANJONG RHU	4120	570	2160	450	940	7040	10	150
MOUNTBATTEN	0	0	0	0	0	5060	5040	110
TUAS VIEW EXTENSION	0	0	0	0	0	0	0	0
MONK'S HILL	0	0	0	0	0	960	0	20
SIGLAP	0	0	0	0	0	6830	0	110
CLEMENTI WOODS	13610	1530	3130	5640	3300	2060	300	440
SAMULUN	0	0	0	0	0	0	0	0
SHIPYARD	0	0	0	0	0	0	0	0
GHIM MOH	11850	1970	4790	2800	2290	0	0	50
LAVENDER	6810	2750	1380	1690	980	2920	30	550
GOODWOOD PARK	0	0	0	0	0	760	90	50
PANDAN	0	0	0	0	0	0	0	0
SINGAPORE POLYTECHNIC	0	0	0	0	0	0	0	160
CLEMENTI CENTRAL	11030	0	4580	5300	1150	1210	960	290
KAMPONG JAVA	7940	410	1980	3850	1700	2540	630	140
BOON KENG	10730	1020	2500	4540	2670	40	140	60
KALLANG BAHRU	0	0	0	0	0	0	0	0
ULU PANDAN	10	0	0	0	0	7770	2950	10
FARRER COURT	1910	0	1030	560	320	1800	910	70
HOLLAND DRIVE	14150	640	6360	4690	2470	0	10	60
FARRER PARK	2730	0	320	1980	430	80	30	290
NEWTON CIRCUS	0	0	0	0	0	200	20	0
JURONG PORT	0	0	0	0	0	0	0	0
TUAS VIEW	0	0	0	0	0	0	0	0
NASSIM	0	0	0	0	0	6700	1530	110
WEST COAST	0	0	0	0	0	3940	1940	10
BAYSHORE	0	0	0	0	0	6870	460	140
BENOI SECTOR	0	0	0	0	0	0	0	0
GUL CIRCLE	0	0	0	0	0	0	0	0
ALJUNIED	29920	2340	10650	10000	6920	9940	560	1290
CITY HALL	0	0	0	0	0	0	0	0
MEI CHIN	13550	1950	5790	2930	2880	2820	220	160
LEONIE HILL	0	0	0	0	0	2350	50	50
PORT	0	0	0	0	0	20	100	20
DHOBY GHAUT	0	0	0	0	0	200	0	10
BUGIS	2220	0	1190	1010	20	20	0	90
VICTORIA	1840	0	1220	570	50	170	0	50
PATERSON	0	0	0	0	0	140	10	0
TUAS BAY	0	0	0	0	0	0	0	0
LEEDON PARK	0	0	0	0	0	2280	3960	10
GEYLANG EAST	21290	2310	7130	7590	4260	7370	4190	530
TYERSALL	520	0	40	210	270	2150	840	20
MOULMEIN	200	0	0	200	0	6870	1280	110
LIU FANG	0	0	0	0	0	0	0	0
FRANKEL	150	150	0	0	0	13640	19130	650
CLEMENTI NORTH	28330	1210	12720	9990	4420	0	0	390
BRAS BASAH	0	0	0	0	0	0	0	0
OXLEY	0	0	0	0	0	1200	140	40
LORONG 8 TOA PAYOH	8150	500	2360	3230	2050	0	0	70
TOH GUAN	16510	0	670	6060	9780	0	0	0
BRADDELL	9690	1730	3160	2050	2750	1030	0	50
BIDADARI	0	0	0	0	0	0	0	0
WOODLEIGH	0	0	0	0	0	2120	250	70
TAMAN JURONG	31650	1790	4940	12750	12160	4560	690	50
LAKESIDE	0	0	0	0	0	1000	0	0
TOA PAYOH WEST	12180	240	7440	970	590	850	0	330
DEFU INDUSTRIAL PARK	0	0	0	0	0	0	0	0
SIMEI	25660	0	190	12820	12640	12660	4120	280
BOON LAY PLACE	29820	4540	15500	4640	5140	1240	0	50
BUKIT BATOK EAST	14430	0	6510	5590	2340	0	0	140
BUKIT BATOK WEST	15140	0	5580	6090	3470	0	0	60
BUKIT BATOK CENTRAL	24580	1290	4160	11520	7610	1430	0	60
UPPER PAYA LEBAR	10030	360	1660	5250	2750	2440	2950	130
TAI SENG	9600	1490	550	5100	2460	530	4160	420
TENGEH	0	0	0	0	0	0	0	0
YUHUA WEST	17630	1910	4070	5650	6010	3060	0	180
YUNNAN	64730	220	2440	33760	28310	2400	3720	50
LORONG CHUAN	0	0	0	0	0	3970	4260	170
HONG KAH	53800	560	12870	26150	14220	2930	0	140
CHANGI BAY	0	0	0	0	0	0	0	0
PAYA LEBAR EAST	0	0	0	0	0	0	0	0
GUILIN	8450	0	3670	2410	2370	4640	0	40
MARYMOUNT	24470	0	0	15080	9390	4060	2890	110
WENYA	8600	0	0	3350	5250	0	0	10
NATURE RESERVE	0	0	0	0	0	3280	550	30
HILLVIEW	0	0	0	0	0	15730	2320	160
MACPHERSON	25930	5640	12000	5020	3270	630	1850	220
KIM KEAT	8550	60	3520	2800	2170	0	0	60
BEDOK NORTH	76470	3750	34660	26630	11430	4220	4670	580
TOA PAYOH CENTRAL	28540	2950	5400	11940	8240	2020	0	190
JURONG GATEWAY	0	0	0	0	0	0	0	0
HOLLAND ROAD	0	0	0	0	0	6060	4170	50
KAMPONG UBI	13050	0	1120	9770	2150	0	0	160
SENNETT	0	0	0	0	0	180	4130	230
POTONG PASIR	10710	0	5440	4080	1190	1780	60	110
BENDEMEER	29040	1730	9280	11810	6220	3640	670	480
XILIN	0	0	0	0	0	1380	510	30
TEBAN GARDENS	19050	210	4740	8750	5340	0	0	30
JURONG RIVER	0	0	0	0	0	0	0	0
GEYLANG BAHRU	12760	1320	7750	1490	2200	0	0	100
FABER	0	0	0	0	0	2730	1520	70
MALCOLM	0	0	0	0	0	720	1830	80
BEDOK SOUTH	33320	1740	9710	14460	7410	5650	11770	450
TAMPINES EAST	134030	3680	25250	54780	50320	3940	0	530
KAKI BUKIT	39610	430	6730	16560	15890	240	710	260
YUHUA EAST	24460	0	9020	7620	7830	2860	0	140
BUKIT BATOK SOUTH	11970	0	0	6260	5710	1260	680	40
JURONG WEST CENTRAL	67050	0	0	25820	41230	1150	0	0
BEDOK RESERVOIR	19050	0	3220	9120	6720	6280	0	60
ANAK BUKIT	5640	0	50	2260	3330	8430	7650	270
SWISS CLUB	0	0	0	0	0	2080	3360	110
TUAS PROMENADE	0	0	0	0	0	0	0	0
AIRPORT ROAD	0	0	0	0	0	0	0	0
SERANGOON CENTRAL	21470	0	4340	11870	5260	3630	1260	120
BISHAN EAST	27360	300	2070	11940	13050	1290	0	170
TAMPINES WEST	72170	1150	9840	35740	25440	5560	0	390
BRICKWORKS	0	0	0	0	0	0	0	0
DUNEARN	0	0	0	0	0	840	3040	20
SUNSET WAY	3560	0	240	1270	2050	1830	860	30
BALESTIER	21690	2220	7890	6490	5090	9220	530	900
JOO SENG	4750	0	920	1810	2020	380	1430	170
CHIN BEE	0	0	0	0	0	0	0	0
PASIR RIS DRIVE	57680	870	0	24310	32510	1790	0	10
TAMPINES NORTH	0	0	0	0	0	0	0	0
CHENG SAN	29610	840	14740	8690	5350	0	0	160
ANG MO KIO TOWN CENTRE	3250	0	460	730	2060	1730	0	40
KEBUN BAHRU	22460	1920	11750	6460	2320	0	1170	290
SERANGOON NORTH IND ESTATE	0	0	0	0	0	0	0	0
TENGAH	0	0	0	0	0	0	0	0
SERANGOON NORTH	17470	0	0	7000	10470	0	0	10
PASIR RIS CENTRAL	20830	330	520	5870	14120	4520	370	0
GOMBAK	6870	0	0	4060	2800	250	2620	90
PLAB	0	0	0	0	0	0	0	0
SENJA	20070	1600	480	9360	8630	0	0	120
WATERWAY EAST	26860	2700	2470	15990	5700	1490	0	0
GALI BATU	0	0	0	0	0	0	0	130
SPRINGLEAF	0	0	0	0	0	100	3730	50
PUNGGOL TOWN CENTRE	7390	0	880	5750	760	0	0	10
NEE SOON	0	0	0	0	0	430	460	10
UPPER THOMSON	13300	870	3360	4460	4610	8870	7880	300
HONG KAH NORTH	26810	0	8110	14250	4450	1270	0	260
TOWNSVILLE	23690	1610	7400	10540	4150	0	0	80
KOVAN	4420	0	780	2560	1080	8820	12050	350
PAYA LEBAR NORTH	0	0	0	0	0	0	0	0
HOUGANG EAST	21920	0	1170	13400	7340	0	0	20
LORONG HALUS	0	0	0	0	0	0	0	0
KANGKAR	19030	1020	5410	8200	4390	6560	370	120
SEMBAWANG HILLS	0	0	0	0	0	160	6660	70
JELEBU	26760	0	4250	10930	11590	6040	650	20
KEAT HONG	13190	0	0	8080	5110	2080	250	140
HOUGANG WEST	49800	0	8890	27980	12930	0	0	320
PAYA LEBAR WEST	0	0	0	0	0	0	0	0
BANGKIT	22440	0	3140	13400	5900	1360	0	10
SAFTI	0	0	0	0	0	0	0	0
TOH TUCK	0	0	0	0	0	0	0	0
MOUNT PLEASANT	0	0	0	0	0	0	640	10
HILLCREST	0	0	0	0	0	3570	5080	160
SAUJANA	23960	210	520	10530	12710	1570	0	0
SELETAR HILLS	0	0	0	0	0	1540	11970	60
COMPASSVALE	15170	310	360	12710	1800	3320	0	20
YIO CHU KANG EAST	0	0	0	0	0	1690	2300	100
YIO CHU KANG	0	0	0	0	0	0	0	0
LOYANG WEST	0	0	0	0	0	0	0	200
TAGORE	0	0	0	0	0	2630	5530	180
LORONG AH SOO	27440	0	8970	11080	7390	2770	3690	280
FLORA DRIVE	0	0	0	0	0	9110	3460	390
CHOA CHU KANG CENTRAL	15440	0	0	8910	6540	5960	0	0
CHANGI WEST	0	0	0	0	0	50	240	1450
FAJAR	26770	450	1480	13380	11470	0	0	0
LORONG HALUS NORTH	0	0	0	0	0	0	0	0
PENG SIANG	31910	350	470	19440	11650	0	0	220
PASIR RIS WEST	29810	0	0	11110	18700	4360	2150	10
YIO CHU KANG WEST	20290	3160	8120	5560	3450	5720	440	90
TRAFALGAR	37820	1760	860	17600	17600	2960	1430	2600
TECK WHYE	26860	1830	4260	11810	8950	140	0	40
TUAS NORTH	0	0	0	0	0	0	0	0
PEI CHUN	11670	500	5850	3070	2250	0	0	110
BOON TECK	14810	5530	4210	1320	3760	0	0	300
KIAN TECK	0	0	0	0	0	0	0	0
CHONG BOON	27670	1840	13500	8810	3520	0	0	230
SHANGRI-LA	18150	3280	7790	5300	1780	0	300	60
SERANGOON GARDEN	21440	690	5140	11210	4410	2030	15090	620
HOUGANG CENTRAL	3890	0	90	1560	2240	0	900	40
LOYANG EAST	0	0	0	0	0	940	1230	20
DAIRY FARM	0	0	0	0	0	3360	2020	20
SELETAR AEROSPACE PARK	0	0	0	0	0	0	0	0
KHATIB	10810	0	1830	4660	4320	0	0	30
MANDAI WEST	0	0	0	0	0	0	0	0
CONEY ISLAND	0	0	0	0	0	0	0	0
YISHUN SOUTH	36090	0	3710	19680	12700	2510	0	250
THE WHARVES	0	0	0	0	0	0	0	0
MANDAI EAST	0	0	0	0	0	0	0	0
SIMPANG SOUTH	0	0	0	0	0	0	0	0
NORTHLAND	30280	30	7260	16730	6260	0	0	100
MIDVIEW	35300	960	1080	15170	18090	0	0	220
WOODLANDS WEST	32610	3660	8930	11210	8820	0	0	270
SEMBAWANG SPRINGS	0	0	0	0	0	1970	2010	320
KRANJI	0	0	0	0	0	0	0	0
SENOKO NORTH	0	0	0	0	0	0	0	0
CHANGI POINT	460	0	450	0	10	0	170	170
SENGKANG TOWN CENTRE	52960	160	790	21040	30970	1360	250	100
ANCHORVALE	38030	990	930	13770	22350	0	0	0
SENGKANG WEST	0	0	0	0	0	0	0	0
FERNVALE	34110	2250	4560	19970	7330	70	1060	360
PUNGGOL FIELD	43070	0	0	13070	29990	0	0	230
CHOA CHU KANG NORTH	29560	1660	570	9740	17600	2520	2300	0
RIVERVALE	53010	1740	680	21350	29230	6590	260	0
CHANGI AIRPORT	0	0	0	0	0	0	0	0
YIO CHU KANG NORTH	0	0	0	0	0	0	0	0
PUNGGOL CANAL	0	0	0	0	0	0	0	0
CENTRAL WATER CATCHMENT	0	0	0	0	0	0	0	0
SELETAR	0	0	0	0	0	0	250	0
TURF CLUB	0	0	0	0	0	0	660	0
WOODLANDS SOUTH	34450	1760	580	13010	19090	1330	0	60
WOODGROVE	30340	0	1900	13900	14540	4570	610	330
YISHUN EAST	52880	2620	6500	31020	12740	1990	0	10
WESTERN WATER CATCHMENT	0	0	0	0	0	0	0	900
PULAU PUNGGOL BARAT	0	0	0	0	0	0	0	0
YISHUN WEST	53850	1480	20480	25390	6500	3540	0	500
WOODLANDS REGIONAL CENTRE	0	0	0	0	0	0	0	0
NORTH-EASTERN ISLANDS	0	0	0	0	0	0	0	0
LOWER SELETAR	1370	0	180	720	480	400	1100	0
NORTHSHORE	0	0	0	0	0	0	280	10
MANDAI ESTATE	0	0	0	0	0	1240	780	90
YISHUN CENTRAL	1490	0	0	830	660	0	0	0
PULAU PUNGGOL TIMOR	0	0	0	0	0	0	0	0
RESERVOIR VIEW	0	0	0	0	0	0	0	0
WOODLANDS EAST	91320	530	610	47490	42690	4170	0	20
SEMBAWANG CENTRAL	28780	0	0	11100	17680	180	0	180
GREENWOOD PARK	0	0	0	0	0	0	0	0
SEMBAWANG EAST	0	0	0	0	0	0	0	0
SENOKO WEST	0	0	0	0	0	0	0	0
PASIR RIS PARK	0	0	0	0	0	2700	270	10
PULAU SELETAR	0	0	0	0	0	0	0	0
ADMIRALTY	14390	1210	670	5810	6700	0	0	20
LIM CHU KANG	0	0	0	0	0	0	0	0
SIMPANG NORTH	0	0	0	0	0	0	0	0
SENOKO SOUTH	0	0	0	0	0	0	0	0
SEMBAWANG NORTH	26840	550	250	12240	13800	0	0	20
TANJONG IRAU	0	0	0	0	0	0	0	0
PANG SUA	0	0	0	0	0	0	0	0
YEW TEE	38900	0	0	16990	21910	4800	0	10
PASIR RIS WAFER FAB PARK	0	0	0	0	0	0	0	0
MATILDA	28430	1960	3180	14160	9130	2000	0	10
NORTH COAST	14550	160	5940	6100	2350	0	0	50
SEMBAWANG STRAITS	0	0	0	0	0	20	1680	0
